Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2025-03-07,2563.48,2,-12.68,-0.49,2553.44,2575.48,2541.49,567191412,12155164964202,2095892197484635.2
2025-03-10,2570.39,1,6.91,0.27,2555.4,2579.76,2549.99,435694828,9881353741270,2101439969373815.2
2025-03-11,2537.6,2,-32.79,-1.28,2516.69,2547.88,2505.91,399016248,10917540670799,2074862207732268.0
2025-03-12,2574.82,1,37.22,1.47,2552.6,2579.69,2541.66,401644557,12284769101722,2105091420669291.2
2025-03-13,2573.64,2,-1.18,-0.05,2598.06,2600.07,2561.02,427292042,13112911085717,2103969035866234.0
2025-03-14,2566.36,2,-7.28,-0.28,2565.18,2576.74,2559.24,362329393,9941799575184,2100287748455670.0
2025-03-17,2610.69,1,44.33,1.73,2588.32,2610.69,2587.52,396573940,11995073046698,2137307329817924.0
2025-03-18,2612.34,1,1.65,0.06,2627.27,2638.56,2606.91,555526574,12034578631086,2138918441303968.8
2025-03-19,2628.62,1,16.28,0.62,2613.48,2642.83,2613.48,653326938,11841495256564,2153080834445234.0
2025-03-20,2637.1,1,8.48,0.32,2648.16,2650.72,2629.2,455019267,11989258245357,2160968151053248.0
2025-03-21,2643.13,1,6.03,0.23,2633.9,2645.82,2617.78,497529180,14188127737060,2166240031337451.2
2025-03-24,2632.07,2,-11.06,-0.42,2636.43,2648.82,2629.38,372431632,6924064394711,2156710253624274.0
2025-03-25,2615.81,2,-16.26,-0.62,2653.04,2654.63,2612.74,439279423,8305059590006,2143539656810207.2
2025-03-26,2643.94,1,28.13,1.08,2628.09,2649.15,2618.05,507916080,7655330119639,2166757904270967.2
2025-03-27,2607.15,2,-36.79,-1.39,2620.28,2633.03,2603.41,403313562,7676249317680,2137689097655124.0
2025-03-28,2557.98,2,-49.17,-1.89,2592.63,2592.63,2549.26,513561475,7150421589957,2097055968124136.0
2025-03-31,2481.12,2,-76.86,-3.0,2513.44,2514.22,2479.46,391592782,8236353358064,2033508107511968.0
2025-04-01,2521.39,1,40.27,1.62,2511.24,2530.61,2494.43,453393641,6939450184454,2066091544186739.2
2025-04-02,2505.86,2,-15.53,-0.62,2525.62,2532.15,2499.83,515599740,7316124788243,2053517297572435.2
2025-04-03,2486.7,2,-19.16,-0.76,2437.43,2488.92,2437.43,480057159,8267470857840,2037334829405671.2
2025-04-04,2465.42,2,-21.28,-0.86,2450.49,2506.71,2438.02,695074881,10742833732479,2019896586676231.2
2025-04-07,2328.2,2,-137.22,-5.57,2359.25,2369.4,2327.01,619500714,10505492820465,1907591512851795.2
2025-04-08,2334.23,1,6.03,0.26,2381.2,2381.31,2328.94,557018146,9122473931623,1912870141561464.8
2025-04-09,2293.7,2,-40.53,-1.74,2329.99,2337.58,2284.72,699641582,9560332636518,1880172676575802.0
2025-04-10,2445.06,1,151.36,6.6,2395.13,2445.06,2391.39,670388052,11055426187398,2002786361478506.0
2025-04-11,2432.72,2,-12.34,-0.5,2400.74,2433.18,2394.25,369702818,7687103441531,1991847800076662.0
2025-04-14,2455.89,1,23.17,0.95,2454.28,2465.56,2449.48,488618364,6687793560550,2011102252591424.0
2025-04-15,2477.41,1,21.52,0.88,2464.51,2482.56,2461.23,560339502,6510808882534,2027996669924308.8
2025-04-16,2447.43,2,-29.98,-1.21,2472.78,2475.83,2442.72,613173904,6725688052971,2004854313353399.2
2025-04-17,2470.41,1,22.98,0.94,2451.7,2473.24,2447.4,601738661,6606299171146,2023188315630384.8
2025-04-18,2483.42,1,13.01,0.53,2473.3,2486.37,2466.9,450985117,5649647492055,2033957406882575.2
2025-04-21,2488.42,1,5.0,0.2,2486.38,2498.84,2479.23,428977098,5239732779307,2038270654755274.0
2025-04-22,2486.64,2,-1.78,-0.07,2481.18,2494.59,2476.14,416680149,6182470913439,2036867826267906.0
2025-04-23,2525.56,1,38.92,1.57,2520.56,2526.72,2507.1,538116134,7764179609542,2068411537802202.0
