Date,Open,High,Low,Close,Volume,Change
2024-04-17,180800,181600,179600,179600,405813,0.06
2024-04-18,180000,181500,179800,180700,599743,0.61
2024-04-19,179900,183800,179100,182400,759807,0.94
2024-04-22,185200,185300,180300,180900,492109,-0.82
2024-04-23,181400,182400,180000,180100,468831,-0.44
2024-04-24,181400,184400,181300,183700,597721,2.0
2024-04-25,181500,184600,180200,182700,437455,-0.54
2024-04-26,184100,184500,181500,181500,438747,-0.66
2024-04-29,182200,184800,181600,184700,510519,1.76
2024-04-30,184600,187500,183800,184400,620050,-0.16
2024-05-02,185200,190000,184600,188800,1046087,2.39
2024-05-03,195000,196400,191500,194600,2291415,3.07
2024-05-07,197400,198500,193800,194800,1272598,0.1
2024-05-08,194100,194100,189700,190900,1000782,-2.0
2024-05-09,185900,188700,185500,188300,1129421,-1.36
2024-05-10,188300,189300,187100,188600,691790,0.16
2024-05-13,186900,186900,182400,184300,723861,-2.28
2024-05-14,185100,187200,184300,184400,542815,0.05
2024-05-16,186300,190600,186200,188500,805720,2.22
2024-05-17,188600,189800,187000,187300,394214,-0.64
2024-05-20,187900,188000,183600,184000,569690,-1.76
2024-05-21,182100,184500,182100,183200,469119,-0.43
2024-05-22,182800,183300,182300,182600,316154,-0.33
2024-05-23,181900,183000,180100,182100,406392,-0.27
2024-05-24,180300,181100,179000,179000,730052,-1.7
2024-05-27,180000,180100,177400,179000,558709,0.0
2024-05-28,178500,178700,177400,177400,563865,-0.89
2024-05-29,178100,179800,175100,175300,898094,-1.18
2024-05-30,173500,174900,170400,170400,947416,-2.8
2024-05-31,170500,172000,170000,170200,1117529,-0.12
2024-06-03,172000,175500,171800,172700,661878,1.47
2024-06-04,172600,177400,172600,176800,758259,2.37
2024-06-05,177400,178200,175600,177100,467925,0.17
2024-06-07,177500,178500,174900,175400,638712,-0.96
2024-06-10,173100,175000,170700,170700,744709,-2.68
2024-06-11,171000,171500,170000,170200,606686,-0.29
2024-06-12,170000,170900,167700,168400,977784,-1.06
2024-06-13,170000,173000,169900,169900,982883,0.89
2024-06-14,169300,171100,168700,169900,677657,0.0
2024-06-17,168800,169400,166000,166100,876593,-2.24
2024-06-18,166700,169400,166300,166800,663328,0.42
2024-06-19,167700,168400,165100,167900,773616,0.66
2024-06-20,167500,169700,166500,167200,581688,-0.42
2024-06-21,166200,168000,165600,167600,872036,0.24
2024-06-24,167700,170700,167200,168900,591088,0.78
2024-06-25,168200,168400,165700,166400,675119,-1.48
2024-06-26,165800,169400,165000,168400,635128,1.2
2024-06-27,166800,167700,165400,165400,582846,-1.78
2024-06-28,167300,169000,165900,166900,709968,0.91
2024-07-01,165400,166000,161500,162900,1140154,-2.4
2024-07-02,161600,162500,159600,159900,932343,-1.84
2024-07-03,160000,162400,159700,159800,608424,-0.06
2024-07-04,160100,161000,159600,159800,505466,0.0
2024-07-05,160600,168600,160200,168100,1306514,5.19
2024-07-08,168100,171900,166100,170500,1148160,1.43
2024-07-09,171100,172900,169800,170700,661077,0.12
2024-07-10,170600,178300,169700,177500,1659106,3.98
2024-07-11,178400,178700,175300,176100,791229,-0.79
2024-07-12,176100,181600,174000,174800,1393405,-0.74
2024-07-15,178200,180500,176000,176300,925722,0.86
2024-07-16,175600,176200,171100,171600,812128,-2.67
2024-07-17,172000,174500,171600,173400,560011,1.05
2024-07-18,173300,175500,171300,174900,523719,0.87
2024-07-19,173700,174700,169800,172200,616972,-1.54
2024-07-22,172000,173900,170700,172700,464293,0.29
2024-07-23,174000,177000,170600,170600,599169,-1.22
2024-07-24,169000,172500,167000,171700,411210,0.64
2024-07-25,170000,179200,169500,178000,1473198,3.67
2024-07-26,178400,179000,174500,174800,880999,-1.8
2024-07-29,175300,176200,173600,175000,429619,0.11
2024-07-30,174500,176600,172600,173300,402895,-0.97
2024-07-31,173900,175100,171500,174000,425047,0.4
2024-08-01,176500,177000,174500,175000,481980,0.57
2024-08-02,172000,172500,170500,171400,674484,-2.06
2024-08-05,169000,169600,151100,156100,1447269,-8.93
2024-08-06,160000,163300,156600,158400,1115733,1.47
2024-08-07,156100,163500,156000,162700,778054,2.71
2024-08-08,160100,163500,158900,162700,724039,0.0
2024-08-09,170000,170000,163100,163700,1236721,0.61
2024-08-12,164600,164700,159400,160300,811411,-2.08
2024-08-13,159800,160300,156100,156400,1035007,-2.43
2024-08-14,157300,158000,155700,157300,858853,0.58
2024-08-16,159200,159200,157000,157500,825934,0.13
2024-08-19,157900,159300,156600,156600,548046,-0.57
2024-08-20,157900,158900,156500,156600,541953,0.0
2024-08-21,156700,157500,155600,156400,464862,-0.13
2024-08-22,157200,164700,157100,164700,1616355,5.31
2024-08-23,164300,165400,163300,164900,589333,0.12
2024-08-26,165600,172200,164500,170700,1277462,3.52
2024-08-27,170900,171900,167900,167900,628385,-1.64
2024-08-28,168000,168500,163600,163800,781672,-2.44
2024-08-29,162800,165900,162100,164900,448071,0.67
2024-08-30,165500,170300,165200,169100,950399,2.55
2024-09-02,169100,169100,164900,166600,505605,-1.48
2024-09-03,167200,169700,165300,165300,536586,-0.78
2024-09-04,160300,162600,156700,157500,1217431,-4.72
2024-09-05,158300,161800,158000,159800,830603,1.46
2024-09-06,160200,160600,157100,157200,649137,-1.63
2024-09-09,153800,155500,152500,155000,612322,-1.4
2024-09-10,156500,159100,156400,159000,956903,2.58
2024-09-11,157200,160300,155900,156400,425569,-1.64
2024-09-12,157600,160000,156600,160000,586471,2.3
2024-09-13,159900,160400,158900,160100,352083,0.06
2024-09-19,161900,162600,159500,160600,606948,0.31
2024-09-20,162000,165400,159700,159900,780267,-0.44
2024-09-23,160700,166700,159900,166700,951074,4.25
2024-09-24,166600,168000,164100,168000,661159,0.78
2024-09-25,169200,169800,166100,166200,676074,-1.07
2024-09-26,167100,170900,167100,170900,700659,2.83
2024-09-27,170900,171400,168600,170400,844604,-0.29
2024-09-30,174000,177300,169400,169400,1947054,-0.59
2024-10-02,168200,171100,168100,168200,940787,-0.71
2024-10-04,169300,171900,168200,170700,1171102,1.49
2024-10-07,171800,171900,165800,166100,1084682,-2.69
2024-10-08,166500,167400,165100,166200,893907,0.06
2024-10-10,167900,174700,167800,172400,1408359,3.73
2024-10-11,172900,173500,171200,173300,576782,0.52
2024-10-14,173300,174300,169900,171400,677634,-1.1
2024-10-15,172400,175700,172400,175200,1056877,2.22
2024-10-16,173900,177700,173300,177000,864891,1.03
2024-10-17,177000,177700,175000,175000,571148,-1.13
2024-10-18,176500,177600,175400,176800,570513,1.03
2024-10-21,176800,179200,176200,176800,537952,0.0
2024-10-22,176900,177100,170800,171200,765563,-3.17
2024-10-23,172000,174600,170800,172500,589358,0.76
2024-10-24,172100,173400,170800,172100,384523,-0.23
